City,State,Purchasing Power Index,Safety Index,Health Care Index,Climate Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,ƒQuality of Life Index:
New York,NY,"('105.24', 'High')","('49.08', 'Moderate')","('62.56', 'High')","('79.66', 'High')","('100.00', 'Very High')","('14.63', 'High')","('43.61', 'High')","('58.11', 'Moderate')","('133.04', 'Moderate')"
Los Angeles,CA,"('132.40', 'Very High')","('46.22', 'Moderate')","('61.99', 'High')","('95.50', 'Very High')","('76.02', 'High')","('7.79', 'Low')","('56.81', 'Very High')","('67.94', 'High')","('143.62', 'Moderate')"
Chicago,IL,"('159.68', 'Very High')","('33.90', 'Low')","('65.33', 'High')","('66.11', 'High')","('73.20', 'High')","('2.89', 'Very Low')","('41.80', 'High')","('50.69', 'Moderate')","('164.09', 'Very High')"
Miami,FL,"('108.54', 'High')","('47.27', 'Moderate')","('63.57', 'High')","('85.69', 'Very High')","('72.69', 'High')","('6.64', 'Low')","('42.94', 'High')","('39.14', 'Low')","('159.57', 'High')"
Houston,TX,"('167.88', 'Very High')","('36.66', 'Low')","('69.56', 'High')","('85.53', 'Very High')","('62.00', 'Moderate')","('2.63', 'Very Low')","('41.86', 'High')","('57.05', 'Moderate')","('174.02', 'Very High')"
Dallas,TX,"('167.80', 'Very High')","('48.76', 'Moderate')","('66.09', 'High')","('81.85', 'Very High')","('68.04', 'Moderate')","('2.92', 'Very Low')","('34.70', 'Low')","('40.91', 'Moderate')","('190.88', 'Very High')"
Philadelphia,PA,"('139.28', 'Very High')","('34.15', 'Low')","('70.19', 'High')","('77.98', 'High')","('74.58', 'High')","('3.43', 'Very Low')","('40.41', 'Moderate')","('47.93', 'Moderate')","('163.81', 'Very High')"
Atlanta,GA,"('182.61', 'Very High')","('35.35', 'Low')","('66.97', 'High')","('89.73', 'Very High')","('70.99', 'Moderate')","('2.34', 'Very Low')","('41.37', 'High')","('45.04', 'Moderate')","('187.26', 'Very High')"
Washington,DC,"('155.39', 'Very High')","('39.83', 'Low')","('70.41', 'High')","('81.62', 'Very High')","('80.29', 'High')","('5.77', 'Low')","('41.16', 'High')","('42.10', 'Moderate')","('175.00', 'Very High')"
Boston,MA,"('141.88', 'Very High')","('60.10', 'High')","('72.20', 'High')","('71.73', 'High')","('82.66', 'High')","('7.23', 'Low')","('44.42', 'High')","('30.02', 'Low')","('181.87', 'Very High')"
